topic,language,title,url,content
Chính sách thương mại toàn cầu,vn,Thương mại toàn cầu chống chịu trước những thay đổi chính sách và rủi ro địa-kinh tế,https://phaata.com/thi-truong-logistics/thuong-mai-toan-cau-chong-chiu-truoc-nhung-thay-doi-chinh-sach-va-rui-ro-dia-kinh-te-61636.html,"Tăng trưởng thương mại trong nửa đầu năm 2025 đã ghi nhận mức tăng trưởng tích cực, bất chấp sự gia tăng bất ổn về chính sách thương mại, căng thẳng địa chính trị đang diễn ra và một môi trường kinh tế toàn cầu đầy thách thức.
Đó là theo Báo cáo Cập nhật Thương mại Toàn cầu mới nhất của Hội nghị Liên Hợp Quốc về Thương mại và Phát triển (Unctad), báo cáo rằng các xu hướng thương mại toàn cầu đã tiếp tục quỹ đạo đi lên dần dần bắt đầu từ nửa cuối năm 2023."
Chính sách thương mại toàn cầu,vn,Chính sách thương mại Việt Nam trước thách thức thuế quan mới từ Hoa Kỳ,https://vneconomy.vn/chinh-sach-thuong-mai-viet-nam-truoc-thach-thuc-thue-quan-moi-tu-hoa-ky.htm,"Việc Tổng thống Donald Trump đề cập đến khả năng áp thuế cao đối với hàng hóa Việt Nam, thậm chí lên tới 46% để đáp trả mức thuế mà Việt Nam bị cho là áp với hàng Mỹ, đã tạo ra những lo ngại nhất định. Việt Nam đã và đang phản ứng ra sao trước tình hình này, thưa ông?
Ngay trong những tháng đầu của nhiệm kỳ Tổng thống mới, ông Donald Trump đã có những tuyên bố cứng rắn về chính sách thương mại, và Việt Nam cũng được nhắc đến. Trước tình hình đó, Việt Nam đã vào cuộc một cách rất kịp thời và chủ động. Từ các nhà lãnh đạo đất nước, tinh thần nhất quán được thể hiện là Việt Nam luôn có sự tôn trọng và cầu thị trong ngoại giao kinh tế, đặc biệt là trong mối quan hệ Đối tác Chiến lược Toàn diện với Hoa Kỳ."
Chính sách thương mại toàn cầu,vn,So sánh chính sách thương mại: Thu hẹp cơ hội tăng trưởng toàn cầu,https://vietworldnow.com/opinion/20250730-so-sanh-chinh-sach-thuong-mai-thu-hep-co-hoi-tang-truong-toan-cau/,"Thị trường thương mại toàn cầu đang chứng kiến một sự chuyển đổi lớn khi hai chính sách đối lập định hướng tăng trưởng kinh tế. Trong khi một số quốc gia giảm rào cản để thúc đẩy tự do thương mại, các quốc gia khác tiếp tục áp đặt những hạn chế nghiêm ngặt, định hình một môi trường năng động cho kinh doanh quốc tế.
Vào ngày 30 tháng 7 năm 2025, Bộ Chính trị Ủy ban Trung ương Đảng Cộng sản Trung Quốc đã tổ chức một cuộc họp quan trọng. Các nhà lãnh đạo đã nhấn mạnh nhu cầu mở rộng mở cửa cấp cao, ổn định những nền tảng của thương mại và đầu tư nước ngoài, tối ưu hóa các chính sách hoàn thuế xuất khẩu, và phát triển các nền tảng mở chất lượng cao như khu thí điểm thương mại tự do."
Chính sách thương mại toàn cầu,vn,Căng thẳng thuế quan toàn cầu: Tác động và 3 kịch bản tương lai,https://dantri.com.vn/the-gioi/cang-thang-thue-quan-toan-cau-tac-dong-va-3-kich-ban-tuong-lai-20250425152114748.htm,"Tiếp theo việc áp thuế đối với một số quốc gia đối tác kinh tế - thương mại hàng đầu của Mỹ từ ngay sau ngày nhậm chức, thuế đối ứng cao kỷ lục do Tổng thống Trump đưa ra ngày 2/4 vừa qua với hơn 180 đối tác kinh tế của Mỹ trên toàn thế giới và các biện pháp trả đũa từ các đối tác chủ chốt khiến cuộc chiến thương mại quốc tế leo thang chưa có hồi kết và đang làm thay đổi trật tự kinh tế toàn cầu tồn tại suốt 80 năm qua."
Chính sách thương mại toàn cầu,vn,Ứng phó với những thay đổi chính sách thương mại từ các quốc gia,https://media.chinhphu.vn/ung-pho-voi-nhung-thay-doi-chinh-sach-thuong-mai-tu-cac-quoc-gia-102250313154956262.htm,"Các doanh nghiệp Việt Nam tiếp tục đa dạng hóa thị trường xuất khẩu sang các nước thông qua các FTA thế hệ mới như thị trường Trung Đông, Châu Phi, ngoài việc khai phá, mở rộng thị trường Hoa Kỳ. Thứ hai, khẩn trương xây dựng lộ trình, cụ thể để Việt Nam bảo vệ các lợi ích thương mại trước các biện pháp thuế tiềm năng từ chính quyền Donald Trump, qua dự báo sau khi áp thuế với Canada, Mexico và sắp tới là các nước EU… các nước có thặng dư thương mại lớn với Hoa Kỳ, trong đó có Việt Nam. Đồng thời, tăng cường hợp tác chiến lược với Hoa Kỳ, nhằm đảm bảo sự bền vững trong quan hệ song phương giữ hai nước từ công nghiệp, thương mại, đầu tư năng lượng, trí tuệ nhân tạo. Thứ ba, cơ quan nhà nước phối hợp với các ngành hàng làm việc với các nhà nhập khẩu hàng hóa, các nhà xuất khẩu Hoa Kỳ tại Việt Nam nhằm xây dựng liên minh ủng hộ việc mở rộng thương mại với Việt Nam qua đó giảm thiểu rủi ro thay đổi những chính sách của chính quyền Donald Trump."
Chính sách thương mại toàn cầu,vn,"Toạ đàm: ""Chính sách thương mại mới của Hoa Kỳ tác động đến ngành hàng xuất khẩu chính của Việt Nam; dòng chảy thương mại và giải pháp""",https://moit.gov.vn/tin-tuc/toa-dam-chinh-sach-thuong-mai-moi-cua-hoa-ky-tac-dong-den-nganh-hang-xuat-khau-chinh-cua-viet-nam-dong-chay-thuong-mai-v.html,"Chính sách thương mại mới của Hoa Kỳ đang tạo ra những tác động sâu rộng đến thương mại toàn cầu nói chung và các ngành hàng xuất khẩu chính của Việt Nam nói riêng. Việc Hoa Kỳ áp các mức thuế thuế đối ứng cao và siết chặt quy định về xuất xứ hàng hóa đã làm chi phí thương mại tăng cao, gây áp lực lớn lên các ngành hàng xuất khẩu chủ lực của Việt Nam như dệt may, da giày, gỗ, điện tử, thép – nhôm và nông sản…. Những quy định nghiêm ngặt về xuất xứ khiến các doanh nghiệp phải đầu tư nhiều hơn vào minh bạch hóa chuỗi cung ứng, truy xuất nguồn gốc và tiêu chuẩn kỹ thuật."
Chính sách thương mại toàn cầu,vn,Tháo gỡ rào cản thương mại toàn cầu,https://nhandan.vn/thao-go-rao-can-thuong-mai-toan-cau-post919102.html,"Việc hàng loạt nước đạt được thỏa thuận thương mại với Mỹ góp phần làm giảm nguy cơ căng thẳng thương mại toàn cầu. Cùng với nỗ lực cải cách WTO đang thúc đẩy, thương mại được kỳ vọng tiếp tục là động lực tăng trưởng kinh tế toàn cầu.
Hệ thống thương mại quốc tế thời gian qua gặp những thách thức lớn khi ở trạng thái mất cân bằng và xuất hiện các yếu tố bất ổn khó lường, như các chính sách thuế quan đơn phương làm gián đoạn chuỗi cung ứng và hoạt động đầu tư toàn cầu. Trong năm nay, WTO nhiều lần điều chỉnh dự báo tăng trưởng thương mại và kinh tế, điều rất hiếm khi xảy ra, do những bất ổn khó lường."
Chính sách thương mại toàn cầu,vn,IMF cảnh báo cú sốc toàn cầu từ chính sách thương mại mới của Mỹ,https://kinhtedothi.vn/imf-canh-bao-cu-soc-toan-cau-tu-chinh-sach-thuong-mai-moi-cua-my.682664.html,"Nguyên nhân chính được xác định là do các chính sách thuế quan quy mô lớn do Mỹ triển khai gần đây đã gây ra những tác động lan tỏa mạnh mẽ lên nền kinh tế toàn cầu.
Theo IMF, loạt biện pháp tăng thuế của Mỹ đối với hàng hóa nhập khẩu, đặc biệt từ Trung Quốc, châu Âu và các nước châu Á, đã đẩy mức thuế hiệu dụng, tức mức thuế trung bình thực tế áp lên toàn bộ hàng nhập khẩu, lên cao hơn cả giai đoạn đầu thế kỷ 20. Đây được đánh giá là một trong những thay đổi sâu rộng nhất về chính sách thương mại mà nền kinh tế lớn nhất thế giới từng thực hiện trong nhiều thập kỷ qua.
IMF dự báo tốc độ tăng trưởng của Mỹ sẽ giảm xuống còn 1,8% trong năm 2025, thấp hơn đáng kể so với mức 2,8% của năm trước và thấp hơn gần 1 điểm phần trăm so với dự báo đưa ra vào tháng 1. Ngoài ra, rủi ro suy thoái kinh tế của Mỹ cũng được IMF nâng lên 40%, so với mức 25% được dự báo vào tháng 10 năm ngoái."
Chính sách thương mại toàn cầu,vn,Thương mại toàn cầu và những rào cản,https://cand.com.vn/Kinh-te-Van-hoa-The-Thao/thuong-mai-toan-cau-va-nhung-rao-can-i762084/,"Năm 2025 được cho là điểm then chốt định hình môi trường thương mại quốc tế. Đặc biệt, xu hướng nội địa hóa chuỗi cung ứng công nghệ cao, mở rộng cơ sở năng lượng tái tạo, đẩy mạnh đầu tư vào các ngành công nghiệp tương lai như trí tuệ nhân tạo (AI) và công nghệ sinh học sẽ tạo ra những thay đổi sâu rộng trong chính sách thương mại của các cường quốc. Những biến động này sẽ tác động mạnh mẽ đến hệ thống thương mại toàn cầu, đòi hỏi các quốc gia phải có chiến lược ứng phó linh hoạt."
Chính sách thương mại toàn cầu,vn,Chiến lược thương mại của chính quyền Trump: Tác động và hệ lụy toàn cầu,https://thoibaotaichinhvietnam.vn/chien-luoc-thuong-mai-cua-chinh-quyen-trump-tac-dong-va-he-luy-toan-cau-169978.html,"Hiện tại, chưa có tín hiệu rõ ràng từ chính quyền Trump về các chính sách cụ thể đối với Việt Nam. Tuy nhiên, trong tương lai, có thể xuất hiện những biện pháp nhằm cân bằng lại thương mại song phương, không chỉ trong chiều hướng từ Việt Nam sang Hoa Kỳ mà cả chiều ngược lại. Ông Kelly nhấn mạnh rằng, chính quyền Trump đã nhận thấy rõ xu hướng các doanh nghiệp Trung Quốc xuất khẩu hàng hóa qua Việt Nam để vào thị trường Hoa Kỳ. Điều này có thể dẫn đến các động thái chính sách nhằm kiểm soát chặt chẽ hơn hoạt động thương mại giữa hai nước.
Ngoài ra, sự dịch chuyển của các nhà máy và dòng vốn đầu tư nước ngoài vào Việt Nam là một thực tế rõ ràng. Tuy nhiên, Hoa Kỳ có thể không muốn điều này diễn ra một cách tự do, mà thay vào đó sẽ hướng tới việc thiết lập một mối quan hệ thương mại thực chất với Việt Nam, thay vì chỉ coi Việt Nam như một trạm trung chuyển hàng hóa từ Trung Quốc. Xu hướng tương tự cũng có thể xảy ra với Ấn Độ, khi các nước tìm cách điều chỉnh chính sách thương mại để bảo vệ lợi ích quốc gia."
